City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,nuuk,64.1835,-51.7216,11.01,56,20,9.22,GL,1738645063
263,kavaratti,10.5669,72.642,81.95,67,100,7.83,IN,1738645064
264,labytnangi,66.6572,66.4183,-18.13,99,86,3.78,RU,1738645065
265,sitka,57.0531,-135.33,35.49,30,0,11.5,US,1738645066
266,port lincoln,-34.7333,135.8667,71.37,62,20,21.99,AU,1738645067
267,cooma,-36.2333,149.1333,93.87,13,2,12.12,AU,1738645068
268,andovoranto,-18.95,49.1,76.05,77,100,17.18,MG,1738645070
269,alakurtti,66.9672,30.3491,-18.2,100,16,3.62,RU,1738645071
270,badger,64.8,-147.5333,-5.01,83,40,0.0,US,1738645072
271,ugoofaaru,5.6667,73.0,81.79,71,56,6.87,MV,1738645073
272,lincheng,19.9078,109.6858,61.59,69,100,15.73,CN,1738645074
273,avarua,-21.2078,-159.775,84.25,79,86,12.66,CK,1738645075
274,songea,-10.6833,35.65,66.94,95,100,1.79,TZ,1738645076
275,jagtial,18.8,78.9333,88.29,24,77,3.91,IN,1738644886
276,kourou,5.1552,-52.6478,74.34,94,100,6.42,GF,1738645078
277,kavieng,-2.5744,150.7967,86.56,62,75,11.25,PG,1738645080
278,crane,31.3974,-102.3501,64.29,33,44,8.59,US,1738645081
279,bubaque,11.2833,-15.8333,74.68,50,16,18.57,GW,1738645082
280,antsiranana,-12.2787,49.2917,79.32,83,100,11.68,MG,1738645083
281,baymak,52.5933,58.3225,15.76,98,100,4.23,RU,1738645085
282,turinskaya sloboda,57.6232,64.3858,25.66,97,99,6.29,RU,1738645086
283,saint-philippe,-21.3585,55.7679,84.25,76,53,8.52,RE,1738645088
284,nogliki,51.8333,143.1667,8.33,91,100,11.3,RU,1738645089
285,santa elena de uairen,4.6167,-61.1333,67.08,78,92,4.72,VE,1738645090
286,alice springs,-23.7,133.8833,99.95,20,0,19.57,AU,1738645091
287,ghat,24.9647,10.1728,51.62,43,83,4.72,LY,1738645092
288,cabrobo,-8.5142,-39.31,75.25,69,4,14.5,BR,1738645093
289,ljusdal,61.8288,16.0913,21.29,96,100,5.44,SE,1738645003
290,valle de la pascua,9.2155,-66.0073,75.51,76,40,8.48,VE,1738645096
291,pathein,16.7833,94.7333,90.14,28,9,6.22,MM,1738645097
292,coronel marcelino mariduena,-2.2,-79.4167,74.77,93,99,2.01,EC,1738645098
293,chui,-33.6971,-53.4616,72.61,93,3,8.55,UY,1738644985
294,nakhon si thammarat,8.25,100.0,82.09,66,100,8.84,TH,1738645100
295,les avirons,-21.2418,55.3394,86.38,70,20,3.44,RE,1738645102
296,serowe,-22.3833,26.7167,69.76,70,2,10.2,BW,1738645104
297,mildura,-34.2,142.15,104.07,24,5,8.32,AU,1738645105
298,najran,17.4924,44.1277,53.47,30,8,1.03,SA,1738645106
299,dubbo,-32.25,148.6167,93.33,29,40,11.5,AU,1738645107
300,blantyre,-15.785,35.0085,68.4,97,99,3.67,MW,1738645108
301,sovetskaya gavan',48.9723,140.2878,9.79,94,100,15.39,RU,1738645109
302,kudahuvadhoo,2.6708,72.8944,81.68,75,42,9.91,MV,1738645110
303,kodinsk,58.6881,99.1844,1.11,95,100,12.39,RU,1738645111
304,chongjin,41.7956,129.7758,16.72,37,27,8.95,KP,1738645113
305,quartu sant'elena,39.2419,9.1839,46.99,93,20,8.05,IT,1738645114
306,xinxiang,35.3089,113.8672,46.24,18,38,3.0,CN,1738645115
307,sisimiut,66.9395,-53.6735,-3.82,97,100,6.96,GL,1738645116
308,taber,49.8167,-112.1518,-6.81,80,100,8.03,CA,1738645117
309,seydi,39.4816,62.9137,39.22,47,78,5.32,TM,1738645118
310,mushie,-3.0167,16.9,72.79,93,100,4.47,CD,1738645119
311,cidade velha,14.9167,-23.6167,66.67,63,20,16.11,CV,1738645120
312,alotau,-10.3069,150.4462,87.98,67,100,5.26,PG,1738645122
313,jinka,5.65,36.65,71.15,42,97,3.51,ET,1738645123
